narendramodi	46
RahulGandhi	45
AmitShah	44
ShivAroor	43
SenSanders	42
ArvindKejriwal	41
divyaspandana	40
sambitswaraj	39
sardesairajdeep	38
iamhamzaabbasi	37
ShashiTharoor	36
Ram_Guha	35
LeoDiCaprio	34
ShefVaidya	33
sanjivbhatt	32
KanchanGupta	31
sardanarohit	30
vivekagnihotri	29
TajinderBagga	28
akashbanerjee	27
abhisar_sharma	26
Shehzad_Ind	25
mvmeet	24
KTRTRS	23
ippatel	22
narendramodi_in	21
rishibagree	20
SMQureshiPTI	19
Atheist_Krishna	18
_YogendraYadav	17
JhaSanjay	16
MGNTheTwin	15
muglikar_	14
Prof_Hariom	13
NaeemBokharii	12
madhukishwar	11
smitabarooah	10
bainjal	9
Sunitagupta__	8
ArtiSharma001	7
AMIT_GUJJU	6
manojkjhadu	5
squintneon	4
DrGPradhan	3
burnolwalli	2
KlasraRauf	1
